Object ID,Circularity Factor ,Total Intensity GFP,Mean Intensity GFP,Total Intensity mCherry,Mean Intensity mCherry,Total Intensity Brightfield,Mean Intensity Brightfield,Area ,Well ,Center X ,Center Y ,Parent Object ID (Well),Parent Trace ID,R01
215,1.1889805,6665488,10529.997,1310703.9,2070.6223,41483656,65535,633,7,552,280.5,6,-1,1
216,1.060677,8951136,8582.1055,2051072,1966.512,68353008,65535,1043,7,225,284,6,-1,1
217,1.0684339,4373008,14337.731,679776,2228.7737,19988176,65535,305,7,591.5,277,6,-1,1
218,1.0648853,2582800,3552.6824,1398144,1923.1692,47643944,65535,727,7,1597.5,287,6,-1,1
219,1.0387484,1831248,3252.6606,1062768,1887.6874,36896204,65535,563,7,160,287.5,6,-1,1
220,1.0380733,6827056,11551.702,1211392,2049.7327,38731184,65535,591,7,393,288,6,-1,1
221,1.0215389,12061936,8035.9336,3160639.8,2105.6895,98368032,65535,1501,7,706.5,296.5,6,-1,1
222,1.1137276,6702416,10232.696,1306928,1995.3099,42925424,65535,655,7,360,289,6,-1,1
223,1.1077462,2314496,6971.3735,658176,1982.4579,21755686,65529.172,332,7,1553,287.5,6,-1,1
224,1.2299897,669712,2317.3425,564944,1954.8235,18939616,65535,289,7,1348,291.5,6,-1,1
225,1.0271131,10574224,9736.8545,2284560,2103.6465,71171008,65535,1086,7,1635.5,301,6,-1,1
226,1.0272308,4402768,8214.1191,1073984,2003.7015,35126760,65535,536,7,192,295.5,6,-1,1
227,1.0807556,6701744,11244.537,1249984,2097.2886,39058860,65535,596,7,657.5,298,6,-1,1
228,1.1191508,2700832,8855.1865,645424,2116.1443,19988176,65535,305,7,1954.5,295.5,6,-1,1
229,1.1241074,6192224,6524.999,1867072,1967.4099,62192716,65535,949,7,87.5,304.5,6,-1,1
230,1.0292095,5341631.5,4328.7129,2438640,1976.2074,80870192,65535,1234,7,813,306.5,6,-1,1
231,1.0605808,3512112,11553,711664,2341,19922640,65535,304,7,1396,298,6,-1,1
232,1.250368,280528,2032.8116,260992,1891.2463,9043830,65535,138,7,1500,296.5,6,-1,0
233,1.1294364,3892208,3408.2383,2492287.8,2182.3887,74840968,65535,1142,7,1288,317,6,-1,1
234,1.0628003,4700944,9752.9961,1015728.1,2107.3196,31587870,65535,482,7,539,307.5,6,-1,1
235,1.0426996,12250032,7252.8311,4488624,2657.563,110688620,65535,1689,7,906.5,320,6,-1,1
236,1.0243214,3693551.8,8471.4492,938928,2153.5046,28573260,65535,436,7,1666,307.5,6,-1,1
237,1.1333854,6089936,6527.2627,1861072,1994.7181,61144156,65535,933,7,32.5,313.5,6,-1,1
238,1.0779602,13026080,11651.234,2347040,2099.3203,73268128,65535,1118,7,1241,317.5,6,-1,1
239,1.0252105,7148816,7943.1289,1781328,1979.2533,58981500,65535,900,7,1473.5,314,6,-1,1
240,1.0533739,2672400,5051.7959,1055712,1995.6748,34668016,65535,529,7,1212,311.5,6,-1,1
241,1.0372639,4125072,5456.4443,1441984,1907.3862,49544460,65535,756,7,122,315,6,-1,1
242,1.0824314,11417057,8616.6465,2752751.8,2077.5486,86833872,65535,1325,7,436,318.5,6,-1,1
243,1.1320252,3784304,2858.2356,2715440,2050.9365,86768336,65535,1324,7,1350,324,6,-1,0
244,1.2466807,4465504,7442.5068,1581120,2635.2,39321000,65535,600,7,1012,317,6,-1,0
245,1.2001592,2486512,7770.3501,850176,2656.8,20971200,65535,320,7,1048.5,313.5,6,-1,1
246,1.0898795,1972720,9132.9629,440656,2040.0741,14155560,65535,216,7,1563.5,313,6,-1,1
247,1.0444941,14186592,7030.0259,4145360.2,2054.1924,132249630,65535,2018,7,1903,334.5,6,-1,0
248,1.0418177,5368256,6660.3672,1606992,1993.7866,52821208,65535,806,7,679.5,325,6,-1,1
249,1.055515,9158672,6912.2051,2644848,1996.1117,86833872,65535,1325,7,186.5,332.5,6,-1,1
250,1.1435621,5181312,7380.7861,1381936,1968.5698,46005568,65535,702,7,388.5,327.5,6,-1,1
251,1.0408587,3860800,14246.494,762624,2814.1106,17759984,65535,271,7,981,321,6,-1,1
252,1.0657346,8907168,8340.0449,2274640,2129.8127,69991376,65535,1068,7,623.5,330.5,6,-1,1
253,1.0333773,8347277,12628.256,1532096,2317.8457,43318636,65535,661,7,1714.5,329.5,6,-1,1
254,1.0738699,8482096,7690.0234,2236336,2027.5032,72285104,65535,1103,7,1191,336,6,-1,1
255,1.0715303,5277888,11041.606,1040720,2177.2385,31325730,65535,478,7,334,331.5,6,-1,1
