Cell ID,Well ,Strain,Cell Mean Intensity GFP,Cell Total Intensity GFP,Cell Area,Pex Mean Intensity GFP,Pex Total Intensity GFP,Pex Area
1132,7,Control,12398.715,5480232.0,442,60206.152,782680.0,13.0
1140,7,Control,13927.044,6726762.0,483,51332.207,2463946.0,48.0
1147,7,Control,4936.3027,2216400.0,449,36878.0,590048.0,16.0
1154,7,Control,5435.0039,4299088.0,791,19913.6,199136.0,10.0
1156,7,Control,13721.308,6695998.0,488,42925.57,600958.0,14.0
1158,7,Control,8973.0879,12104696.0,1349,45249.5,1176487.0,26.0
1164,7,Control,10116.405,9995008.0,988,24604.309,319856.0,13.0
1170,7,Control,9728.2539,10302221.0,1059,42654.970499999996,725134.5,17.0
1171,7,Control,10101.848,8485552.0,840,21977.846,285712.0,13.0
1172,7,Control,10631.22,8388032.5,789,24172.8,317472.0,13.0
1177,7,Control,10993.254,6310127.5,574,21109.334,696608.0,33.0
1201,7,Control,5703.5527,10608608.0,1860,26565.0,425040.0,16.0
1205,7,Control,8436.1846,3290112.0,390,41681.602,416816.0,10.0
1209,7,Control,9834.9375,9667744.0,983,20130.783,463008.0,23.0
1212,7,Control,8158.8594,8925792.0,1094,29217.455,321392.0,11.0
1215,7,Control,9774.54,7497072.0,767,23094.9415,346384.0,14.5
1221,7,Control,9943.9668,7169600.0,721,17648.941,300032.0,17.0
1222,7,Control,19906.486,3841951.8,193,31308.148,1690640.0,54.0
1226,7,Control,9170.9844,4227824.0,461,6091.52,152288.0,25.0
1248,7,Control,10200.532,9772110.0,958,43188.105,820574.0,19.0
1249,7,Control,10502.744,8097615.5,771,22179.691,576672.0,26.0
1250,7,Control,13768.238,6760205.0,491,37835.285,474239.0,12.5
1251,7,Control,9474.6611,11786478.0,1244,22004.268,330064.0,15.0
1253,7,Control,8451.293,8459744.0,1001,5867.637699999999,595608.0,105.5
1254,7,Control,4725.7041,9583728.0,2028,22598.736,429376.0,19.0
