Object ID,Circularity Factor ,Total Intensity GFP,Mean Intensity GFP,Total Intensity mCherry,Mean Intensity mCherry,Total Intensity Brightfield,Mean Intensity Brightfield,Area ,Well ,Center Y ,Center X ,Parent Object ID (MO),Parent Trace ID,MO.R01
1114,1.1012657,1073854,27534.719,197872,5073.6411,2555865,65535,39,25,365.5,1339.5,2929,-1,0
1115,1.6628078,202480,14462.857,41216,2944,917490,65535,14,25,344,1864.5,2931,-1,1
1116,1.0967372,422320,26395,53760,3360,1048560,65535,16,25,351,1854,2931,-1,1
1117,1.6734826,2410894,20259.613,437264,3674.4873,7798665,65535,119,25,340.5,1969.5,2932,-1,1
1118,1.1621311,1509472,26481.965,233568,4097.6841,3735495,65535,57,25,344.5,781,2934,-1,1
1119,1.1172465,772815,38640.75,78368,3918.3999,1310700,65535,20,25,357,769,2934,-1,1
1120,1.4695363,589312,14732.8,122880,3072,2621400,65535,40,25,366.5,782.5,2934,-1,1
1121,1.1583669,902880,15566.896,199984,3448,3801030,65535,58,25,341.5,1035.5,2935,-1,1
1122,1.4028965,3000607,16763.168,711728,3976.134,11730765,65535,179,25,349.5,1046,2935,-1,1
1123,1.2522531,76464,6951.2729,32320,2938.1819,720885,65535,11,25,356.5,1685.5,2939,-1,1
1124,1.0290764,278112,21393.23,39616,3047.3845,851955,65535,13,25,347.5,203.5,2940,-1,1
1125,1.3894357,206912,10890.105,56448,2970.9473,1245165,65535,19,25,347,490.5,2941,-1,1
1126,1.4097492,58896,5889.6001,30400,3040,655350,65535,10,25,351,984,2942,-1,1
1127,1.4953896,1355664,18319.783,238336,3220.7568,4849590,65535,74,25,358.5,969.5,2942,-1,1
1128,1.302138,499039.97,23763.809,70608,3362.2856,1376235,65535,21,25,372.5,967,2942,-1,1
1129,1.1753231,685920,29822.609,83536,3632,1507305,65535,23,25,357.5,1373.5,2943,-1,1
1130,2.0971003,252240,9008.5713,82176,2934.8572,1834980,65535,28,25,359.5,1492,2944,-1,1
1131,1.1588256,703792,8582.8291,256704,3130.5366,5373870,65535,82,25,361.5,1509,2944,-1,1
1132,1.5660063,1402608,9049.084,473776,3056.6194,10157925,65535,155,25,370.5,1496.5,2944,-1,1
1133,1.0696907,535824,24355.637,74912,3405.0908,1441770,65535,22,25,389,1509,2944,-1,1
1134,1.0198668,251776,22888.727,33520,3047.2727,720885,65535,11,25,352,221,2948,-1,1
1135,1.0831669,2908320,37770.391,360336,4679.6885,5046195,65535,77,25,355.5,338.5,2949,-1,1
1136,1.5040718,937200,6840.876,408800,2983.9417,8978295,65535,137,25,366.5,363,2949,-1,1
1137,1.1564301,801520,26717.334,107568,3585.6001,1966050,65535,30,25,377.5,370.5,2949,-1,1
1138,1.1225988,411408,22856,63904,3550.2222,1179630,65535,18,25,350.5,1022,2950,-1,1
1139,1.773629,2399552,9874.6992,770752,3171.8188,15925005,65535,243,25,373,1015.5,2950,-1,1
1140,1.150096,412640,24272.941,56352,3314.8235,1114095,65535,17,25,352,1797,2953,-1,1
1141,1.0660159,469584.03,36121.848,42816,3293.5386,851955,65535,13,25,361,1782.5,2953,-1,1
1142,2.0335922,452048,7534.1333,176912,2948.5334,3932100,65535,60,25,370,1799,2953,-1,1
1143,1.5697057,663904,7138.7529,280496,3016.0859,6094755,65535,93,25,378.5,1805,2953,-1,1
1144,2.062911,189488,9973.0527,56448,2970.9473,1245165,65535,19,25,371,2024.5,2954,-1,1
1145,1.0625987,334288,13928.667,81392,3391.3333,1572840,65535,24,25,355,132.5,2955,-1,1
1146,1.2659236,267040,24276.363,33536,3048.7273,720885,65535,11,25,388.5,115.5,2955,-1,1
1147,1.3015659,297536,14168.381,66320,3158.0952,1376235,65535,21,25,358,1984.5,2957,-1,1
1148,1.7657156,531024,8297.25,194464,3038.5,4194240,65535,64,25,377.5,1994.5,2957,-1,1
1149,1.981911,757648,8809.8604,256415.98,2981.5813,5636010,65535,86,25,370,1630,2959,-1,1
1150,1.6103446,408608,6925.5591,177728,3012.3389,3866565,65535,59,25,379.5,1626.5,2959,-1,1
1151,1.4926552,251088,7846.5,96880,3027.5,2097120,65535,32,25,382.5,1615.5,2959,-1,1
1152,2.0459423,128960,6448,60000,3000,1310700,65535,20,25,389,1623.5,2959,-1,1
1153,1.1855545,85936,6610.4614,37376,2875.0769,851955,65535,13,25,390.5,1617,2959,-1,1
1154,1.2907622,521952,34796.801,53616,3574.3999,983025,65535,15,25,396.5,1611,2959,-1,1
1155,1.2536359,1625481,34584.703,190864,4060.9363,3080145,65535,47,25,364.5,1538,2960,-1,1
1156,2.0082763,210480,7517.1431,81632,2915.4285,1834980,65535,28,25,375,1559,2963,-1,1
1157,1.0812283,620607,36506.293,56016,3295.0588,1114095,65535,17,25,370.5,1689,2964,-1,1
1158,1.1295254,809296,33720.668,79024,3292.6667,1572840,65535,24,25,384,1684.5,2964,-1,1
1159,1.2962083,341840,21365,50240,3140,1048560,65535,16,25,391,1685.5,2964,-1,1
1160,1.3387182,555616,37041.066,55264,3684.2666,983025,65535,15,25,396,1886,2966,-1,1
1161,1.1963738,251552,19350.154,38272,2944,851955,65535,13,25,378,482.5,2967,-1,1
1162,1.6324132,68272,5689.3335,35520,2960,786420,65535,12,25,391.5,502,2967,-1,1
1163,0.99122467,557024,34814,51584,3224,1048560,65535,16,25,395,479.5,2967,-1,1
1164,1.1322721,501808,31363,50608,3163,1048560,65535,16,25,405.5,1941.5,2969,-1,1
1165,1.2023845,195296,19529.6,32064,3206.3999,655350,65535,10,25,383,80,2971,-1,1
1166,1.2106892,715280,24664.828,132816,4579.8623,1900515,65535,29,25,401,238.5,2972,-1,1
1167,1.5994742,479680,10659.556,133440,2965.3333,2949075,65535,45,25,384,722.5,2975,-1,0
1168,1.1510554,640236,42682.398,52352,3490.1333,983025,65535,15,25,382,1259,2977,-1,1
1169,1.3644032,3553691,25939.35,512864,3743.533,8978295,65535,137,25,395,916.5,2979,-1,1
1170,1.4858571,82496,7499.6362,32320,2938.1819,720885,65535,11,25,392.5,1862.5,2982,-1,0
1171,0.98708138,1194080,37315,113280,3540,2097120,65535,32,25,393,1437,2984,-1,1
1172,1.0002767,697712,31714.182,69680,3167.2727,1441770,65535,22,25,404,1436.5,2984,-1,1
1173,1.9138386,1071344,12174.363,284304,3230.7273,5767080,65535,88,25,407.5,1724.5,2985,-1,1
1174,1.0696453,438381,43838.102,36288,3628.8,655350,65535,10,25,391.5,1572.5,2986,-1,1
1175,1.1109628,856384,29530.482,101424,3497.3794,1900515,65535,29,25,417,1589,2986,-1,1
1176,1.2221888,351952,25139.428,41312,2950.8572,917490,65535,14,25,393.5,324,2987,-1,1
1177,1.1321135,637088,21236.268,97040,3234.6667,1966050,65535,30,25,396.5,300.5,2987,-1,1
1178,2.6262583,1051360,9142.2607,335936,2921.1826,7536525,65535,115,25,411,324.5,2987,-1,1
1179,2.2083528,141776,5250.9629,79408,2941.0371,1769445,65535,27,25,422,315.5,2987,-1,1
1180,1.0578517,1098893,33299.789,135424,4103.7578,2162655,65535,33,25,423.5,294.5,2987,-1,1
1181,1.1051802,330784,33078.398,37520,3752,655350,65535,10,25,396.5,1077,2989,-1,1
1182,1.0883683,1947288,47494.828,137664,3357.6584,2686935,65535,41,25,406.5,1035.5,2991,-1,1
1183,1.292177,67440,6744,29264,2926.3999,655350,65535,10,25,409.5,1008.5,2991,-1,1
1184,1.1870787,348752,23250.133,47008,3133.8667,983025,65535,15,25,411,1000.5,2991,-1,1
1185,1.1064102,884527,38457.695,83424,3627.1304,1507305,65535,23,25,396.5,1309.5,2992,-1,1
1186,1.1035138,602416,35436.234,49040,2884.7058,1114095,65535,17,25,400,1814.5,2994,-1,1
1187,1.1117627,325776,32577.6,33408,3340.8,655350,65535,10,25,435,1831.5,2994,-1,1
1188,1.0066823,875088,30175.449,113536,3915.0344,1900515,65535,29,25,416.5,1914,2996,-1,1
1189,1.0501666,1757278,31379.965,240256,4290.2856,3669960,65535,56,25,419,1920,2996,-1,1
1190,1.059507,142752,14275.2,33952,3395.2,655350,65535,10,25,399,550,2997,-1,0
1191,1.592138,62704,5225.3335,34640,2886.6667,786420,65535,12,25,410.5,156,2999,-1,1
1192,1.3597066,1816906,46587.332,153744,3942.1538,2555865,65535,39,25,418.5,439,3000,-1,1
1193,1.145079,497200,22600,82752,3761.4546,1441770,65535,22,25,425.5,1675,3004,-1,1
1194,1.2835926,92496,9249.5996,29984,2998.3999,655350,65535,10,25,427,1742,3005,-1,0
1195,2.2628334,586784,6448.1758,263808,2898.989,5963685,65535,91,25,434,1757.5,3005,-1,0
1196,1.2018869,1056048,16000.728,204608,3100.1211,4319444,65446.121,66,25,444.5,1746.5,3005,-1,0
1197,1.6629339,63504,5773.0908,32736,2976,720885,65535,11,25,411.5,225,3006,-1,1
1198,1.2122061,479824,23991.199,66416,3320.8,1310700,65535,20,25,436,219.5,3006,-1,1
1199,1.0756074,645776,23917.629,99408,3681.7778,1769445,65535,27,25,411,877.5,3008,-1,1
1200,1.1114005,3543327,36156.398,446192,4552.9795,6422430,65535,98,25,426.5,878,3008,-1,1
1201,1.2954148,969088,29366.303,106576,3229.5757,2162655,65535,33,25,416.5,920.5,3009,-1,1
1202,0.9108978,590206,34718,67792,3987.7646,1114095,65535,17,25,415.5,909.5,3009,-1,1
1203,1.2273425,1714880,9855.6318,602160,3460.6897,11403090,65535,174,25,423.5,1447.5,3010,-1,1
1204,0.92636847,474448,29653,57344,3584,1048560,65535,16,25,433.5,1972,3012,-1,1
1205,1.0710516,326352,17176.422,60208,3168.842,1245165,65535,19,25,420.5,44.5,3013,-1,1
1206,1.1435461,188720,18872,31392,3139.2,655350,65535,10,25,424.5,1283.5,3015,-1,0
1207,2.2122122,221440,7143.2256,90752,2927.4839,2031585,65535,31,25,434.5,2000.5,3021,-1,0
1208,1.2301337,370928,33720.727,33120,3010.9092,720885,65535,11,25,441,2017.5,3021,-1,0
1209,1.2592948,317792,15889.6,65872,3293.6001,1310700,65535,20,25,446.5,1998.5,3021,-1,0
1210,1.219548,1059424,22540.936,157200,3344.6809,3080145,65535,47,25,441,1221.5,3023,-1,1
1211,1.375654,225424,18785.334,35120,2926.6667,786420,65535,12,25,438,340.5,3024,-1,1
1212,1.0067032,510512.03,18232.572,94336,3369.1428,1834980,65535,28,25,450,349.5,3024,-1,1
1213,1.1989411,95888,7990.6665,36160,3013.3333,786420,65535,12,25,453,342.5,3024,-1,1
1214,2.2169456,383247.97,9347.5117,122752,2993.9512,2686935,65535,41,25,435.5,583.5,3025,-1,1
1215,1.2855206,222160,11108,63456,3172.8,1310700,65535,20,25,428,766,3026,-1,1
1216,1.1312765,269008,24455.273,33184,3016.7273,720885,65535,11,25,429,780.5,3026,-1,1
1217,1.0151385,108800,8369.2305,37504,2884.9231,851955,65535,13,25,432,996.5,3029,-1,1
1218,1.2930825,417408,32108.309,40560,3120,851955,65535,13,25,430,1540,3030,-1,0
1219,0.93961101,250048.02,17860.572,45696,3264,917490,65535,14,25,436,1524.5,3030,-1,0
1220,1.144372,809968,25311.5,134064,4189.5,2097120,65535,32,25,429.5,68.5,3031,-1,1
1221,1.0820651,804496.06,20628.104,141968,3640.2051,2555865,65535,39,25,442.5,60.5,3031,-1,1
1222,1.4883183,293984,11759.36,76592,3063.6799,1638375,65535,25,25,431.5,1550.5,3032,-1,1
1223,1.1314234,289232,13772.952,79440,3782.8572,1376235,65535,21,25,470,837,3033,-1,1
1224,1.1104072,466688.03,21213.092,69808,3173.0908,1441770,65535,22,25,446.5,122,3034,-1,1
1225,1.2180386,400416,26694.4,46688,3112.5334,983025,65535,15,25,443,504,3035,-1,1
1226,1.1445677,280639,23386.584,48288,4024,786420,65535,12,25,450.5,734,3037,-1,1
1227,1.0911536,636848,18195.656,127120,3632,2293725,65535,35,25,435.5,802.5,3038,-1,1
1228,1.610729,971743.94,16470.236,201504,3415.322,3866565,65535,59,25,447.5,651,3039,-1,1
1229,0.96162918,217504,12794.353,58752,3456,1114095,65535,17,25,446,639.5,3039,-1,1
1230,1.1261629,1868918.9,33980.344,284976,5181.3818,3604425,65535,55,25,439.5,892,3040,-1,1
1231,1.4096484,652624,8940.0547,219520,3007.1233,4784055,65535,73,25,452,889,3040,-1,1
1232,1.4690543,1710672,18198.639,335104,3564.9363,6160290,65535,94,25,444,437.5,3042,-1,1
1233,1.5359058,151120,15112,28976,2897.6001,655350,65535,10,25,457,1611,3047,-1,1
1234,1.09496,4006489.8,37797.074,478304,4512.3018,6946710,65535,106,25,450,308.5,3049,-1,1
1235,2.3550019,1162704,12369.191,284560,3027.2341,6160290,65535,94,25,451,679,3050,-1,1
1236,1.2682872,2024257,50606.426,138240,3456,2621400,65535,40,25,448.5,489,3054,-1,1
1237,1.0543454,1184074,38195.934,109472,3531.3547,2031585,65535,31,25,456,486.5,3054,-1,1
1238,1.1525468,388032,18477.715,76192,3628.1904,1376235,65535,21,25,452,1726.5,3055,-1,1
1239,1.1304859,160000,14545.454,41136,3739.6365,720885,65535,11,25,451.5,1740,3055,-1,1
1240,1.0154288,511280,23240,71904,3268.3635,1441770,65535,22,25,472,1735,3055,-1,1
1241,1.0088793,585072,27860.572,73344,3492.5715,1376235,65535,21,25,460,1780,3056,-1,1
1242,1.0771057,213568,17797.334,44464,3705.3333,786420,65535,12,25,447.5,1324.5,3057,-1,1
1243,1.2835926,317232,31723.199,36752,3675.2,655350,65535,10,25,473,1322.5,3057,-1,1
1244,1.1822007,1900928,30173.461,236448,3753.1428,4128705,65535,63,25,450.5,1922.5,3058,-1,1
1245,1.082707,1294621,38077.09,133520,3927.0588,2228190,65535,34,25,455.5,205.5,3060,-1,1
1246,2.4903802,1123024,12340.923,271632,2984.967,5963685,65535,91,25,473,224.5,3060,-1,1
1247,1.4872716,462304,14913.032,99616,3213.4194,2031585,65535,31,25,450.5,1857,3061,-1,1
1248,2.6269789,314784,7320.5581,129056,3001.3022,2818005,65535,43,25,469.5,1855.5,3061,-1,1
1249,1.7196436,405872,10406.975,131072,3360.8206,2555865,65535,39,25,452,271.5,3062,-1,1
1250,1.5096961,158656,8814.2227,53680,2982.2222,1179630,65535,18,25,461,281.5,3062,-1,1
1251,1.1060094,85232,8523.2002,29760,2976,655350,65535,10,25,463.5,274.5,3062,-1,1
